message_id,vader_cont,vader_label,lm_n_tokens,lm_n_neg,lm_n_pos,lm_cont,lm_label,finbert_label,finbert_cont,roberta_label,roberta_cont
1499946276867256320,-0.4404,negative,34,5,0,-0.14705882352941177,negative,negative,-0.9204436596482992,negative,-0.5784220043569803
1499156127153418241,-0.4767,negative,23,1,0,-0.043478260869565216,negative,neutral,-0.060996394604444504,neutral,-0.22373251989483833
1498806749528137732,-0.128,negative,25,1,0,-0.04,negative,negative,-0.6091843992471695,neutral,-0.18302970379590988
1498324626891415552,0.6908,positive,29,0,0,0.0,neutral,negative,-0.8901867661625147,neutral,-0.1477213390171528
1497982600937455618,0.6908,positive,19,0,0,0.0,neutral,neutral,-0.04555661231279373,neutral,0.15525471605360508
1497621282514522115,0.6908,positive,17,0,0,0.0,neutral,neutral,-0.04202977381646633,neutral,0.14370105229318142
1497365891046162438,0.0772,positive,29,1,0,-0.034482758620689655,negative,negative,-0.9443708593025804,neutral,-0.26102131605148315
1497213344213839873,-0.4404,negative,15,1,0,-0.06666666666666667,negative,negative,-0.9095499040558934,neutral,-0.2983308732509613
1497065795217932289,-0.5106,negative,40,5,0,-0.125,negative,negative,-0.8899324610829353,negative,-0.5271632233634591
1496988180159078406,0.3612,positive,31,1,0,-0.03225806451612903,negative,negative,-0.9025517236441374,neutral,-0.1014360673725605
1496987684383899648,0.3612,positive,29,1,0,-0.034482758620689655,negative,negative,-0.9031395995989442,neutral,-0.12373511120676994
1496986943514681348,0.3612,positive,28,1,0,-0.03571428571428571,negative,negative,-0.8758353730663657,neutral,-0.09916601702570915
1496986214938861568,0.3612,positive,31,1,0,-0.03225806451612903,negative,negative,-0.9285841062664986,neutral,-0.1440036166459322
1496985542805929986,0.3612,positive,34,1,0,-0.029411764705882353,negative,negative,-0.7658688724040985,neutral,-0.09888362884521484
1496954298961383426,0.0,neutral,29,1,0,-0.034482758620689655,negative,neutral,0.03012511506676674,neutral,-0.12084103189408779
1496944253297168393,-0.1027,negative,27,0,0,0.0,neutral,negative,-0.8985561840236187,neutral,-0.17393436655402184
1496920133780099074,0.0258,neutral,34,4,0,-0.11764705882352941,negative,negative,-0.9148504938930273,neutral,-0.34929818473756313
1496919249373257738,0.2204,positive,37,1,1,0.0,neutral,neutral,-0.08661137521266937,negative,-0.6696450226008892
1496894658475171840,-0.1531,negative,11,1,0,-0.09090909090909091,negative,negative,-0.46221547946333885,neutral,0.03581381216645241
1496885206204272654,-0.5423,negative,18,1,0,-0.05555555555555555,negative,negative,-0.8383740335702896,negative,-0.5698943268507719
1496881850010062850,-0.5423,negative,16,0,0,0.0,neutral,negative,-0.9000964555889368,neutral,-0.308301106095314
1496872700929019908,-0.25,negative,28,0,0,0.0,neutral,negative,-0.7428277786821127,neutral,-0.19870442524552345
1496138048337330186,0.5267,positive,39,0,0,0.0,neutral,neutral,0.027494359761476517,neutral,0.46720105805434287
1496137929978175500,0.5267,positive,39,0,0,0.0,neutral,neutral,0.02752791903913021,neutral,0.47287076036445796
1494817684432715777,0.4767,positive,28,1,0,-0.03571428571428571,negative,neutral,-0.027400372549891472,neutral,0.01092374324798584
1494817583551320069,0.0772,positive,26,1,0,-0.038461538461538464,negative,negative,-0.9378705713897943,neutral,-0.30966412648558617
1494636541729284096,-0.7184,negative,39,4,0,-0.10256410256410256,negative,negative,-0.851884544827044,negative,-0.6481078658252954
1494418401929818130,-0.2263,negative,17,1,1,0.0,neutral,neutral,-0.05206506699323654,neutral,-0.18086403980851173
1494088871402946565,0.6808,positive,37,1,0,-0.02702702702702703,negative,neutral,0.35702675487846136,neutral,-0.018017195165157318
1494088115341959175,0.8415,positive,39,1,0,-0.02564102564102564,negative,positive,0.576463770121336,neutral,-0.04939323291182518
1493755236736925712,0.6037,positive,19,1,0,-0.05263157894736842,negative,positive,0.9333525197580457,neutral,-0.09580707177519798
1493755121011994624,0.5574,positive,34,1,0,-0.029411764705882353,negative,positive,0.7576532810926437,neutral,-0.027263574302196503
1493714021882609668,-0.128,negative,24,1,0,-0.041666666666666664,negative,negative,-0.5471670031547546,neutral,-0.17810538783669472
1493708501159497735,0.2023,positive,26,0,0,0.0,neutral,neutral,0.4014209182932973,neutral,0.05360536836087704
1491776813311295488,-0.2263,negative,19,1,0,-0.05263157894736842,negative,neutral,-0.14586101099848747,neutral,-0.21532012894749641
1490328102899232776,0.9529,positive,51,0,1,0.0196078431372549,positive,neutral,0.4744631052017212,positive,0.9528386245947331
1489710246952153099,-0.296,negative,12,1,0,-0.08333333333333333,negative,neutral,-0.03432467207312584,neutral,-0.4030300918966532
1488639535235973121,-0.296,negative,14,1,0,-0.07142857142857142,negative,neutral,-0.06719579361379147,negative,-0.609641307964921
1486877987995893766,0.6151,positive,28,1,0,-0.03571428571428571,negative,neutral,-0.024508342146873474,negative,-0.49145140312612057
1485850022147235842,0.296,positive,23,0,0,0.0,neutral,neutral,0.011374058201909065,neutral,0.03083299659192562
1485743889591898113,0.0772,positive,29,1,0,-0.034482758620689655,negative,negative,-0.9525332516059279,neutral,-0.2734828535467386
1483759285431508993,0.0,neutral,22,0,0,0.0,neutral,neutral,-0.026687292382121086,neutral,0.02894479688256979
1483758000015753220,-0.2263,negative,24,1,0,-0.041666666666666664,negative,neutral,-0.059064656496047974,neutral,-0.09506488963961601
1483757809787293697,0.0,neutral,15,0,0,0.0,neutral,neutral,-0.0261753611266613,neutral,0.022963322699069977
1481791397833363458,-0.6908,negative,15,1,0,-0.06666666666666667,negative,neutral,-0.41354816406965256,negative,-0.821023085154593
1762126521345413199,0.0,neutral,41,1,0,-0.024390243902439025,negative,neutral,0.013519329950213432,neutral,-0.32041615433990955
1761081640791560585,-0.0258,neutral,36,3,0,-0.08333333333333333,negative,negative,-0.5197205971926451,negative,-0.6586239002645016
1760777183751020917,0.0,neutral,16,1,0,-0.0625,negative,neutral,-0.44357130862772465,neutral,-0.0679800994694233
1760694340308042195,-0.6705,negative,22,3,0,-0.13636363636363635,negative,neutral,-0.32998585887253284,negative,-0.8039384866133332
1760678035853058224,0.0,neutral,15,1,0,-0.06666666666666667,negative,neutral,-0.0927205327898264,neutral,-0.12881158478558064
1757427772832567670,0.0,neutral,10,0,0,0.0,neutral,neutral,-0.004848986864089966,neutral,0.07467525452375412
1745474316022530460,0.4278,positive,28,0,0,0.0,neutral,neutral,0.016086440533399582,neutral,-0.0490889698266983
1742927376231899351,0.3302,positive,48,1,0,-0.020833333333333332,negative,neutral,-0.2575156409293413,negative,-0.6952792406082153
1742621912512024675,0.5106,positive,29,0,1,0.034482758620689655,positive,neutral,0.20743495505303144,positive,0.8648631698451936
1740912002552443076,0.5719,positive,48,1,0,-0.020833333333333332,negative,neutral,0.06259695813059807,neutral,0.380507655441761
1740911320512504104,0.5719,positive,43,1,0,-0.023255813953488372,negative,neutral,0.06072597950696945,neutral,0.41045207995921373
1740908406872137950,0.5267,positive,46,0,0,0.0,neutral,neutral,0.0035207942128181458,neutral,-0.03917396068572998
1740719461471060335,0.4939,positive,30,1,0,-0.03333333333333333,negative,neutral,0.1715744361281395,neutral,-0.007592868059873581
1736451112834945260,-0.3612,negative,46,1,0,-0.021739130434782608,negative,neutral,-0.14419209398329258,negative,-0.5222550518810749
1731712455464603707,0.34,positive,32,2,0,-0.0625,negative,negative,-0.6286058276891708,neutral,-0.02468256652355194
1730266743673909318,0.0772,positive,34,3,0,-0.08823529411764706,negative,neutral,-0.09332777559757233,neutral,-0.13104401156306267
1729613785625698470,0.296,positive,32,0,0,0.0,neutral,neutral,0.03491388261318207,neutral,0.12004824355244637
1728569321620942957,-0.128,negative,32,4,0,-0.125,negative,neutral,-0.37663502618670464,neutral,-0.3545605670660734
1727311113396646275,0.4215,positive,34,0,1,0.029411764705882353,positive,neutral,0.12329876329749823,neutral,0.14841219875961542
1725500591487570307,-0.4215,negative,20,3,0,-0.15,negative,neutral,-0.347001813352108,negative,-0.6784356730058789
1725166950219669809,-0.2263,negative,26,4,0,-0.15384615384615385,negative,negative,-0.7363998889923096,negative,-0.5283060241490602
1724762169139769643,0.4939,positive,16,2,0,-0.125,negative,negative,-0.9265167191624641,neutral,-0.3160734921693802
1724696115079962835,0.3818,positive,36,2,0,-0.05555555555555555,negative,neutral,-0.20929497480392456,negative,-0.768076853826642
1724592066347569569,0.3818,positive,33,4,0,-0.12121212121212122,negative,neutral,-0.4638798478990793,negative,-0.7772763706743717
1724582562415173720,0.5423,positive,26,2,0,-0.07692307692307693,negative,neutral,-0.15293967351317406,negative,-0.555111370049417
1724572256590811469,0.34,positive,35,1,1,0.0,neutral,negative,-0.7680503968149424,neutral,-0.3991483375430107
1720536475370959251,0.0,neutral,28,0,1,0.03571428571428571,positive,neutral,0.17487730272114277,neutral,0.2590738572180271
1715164705449263376,0.4767,positive,35,0,0,0.0,neutral,neutral,0.058907650411129,neutral,-0.009980171918869019
1712860785842753983,0.8934,positive,35,1,1,0.0,neutral,negative,-0.9442797405645251,negative,-0.6983455047011375
1712800505045430453,0.5106,positive,27,0,1,0.037037037037037035,positive,positive,0.931063074618578,neutral,0.38970998860895634
1707151208870298052,0.3182,positive,25,2,0,-0.08,negative,neutral,0.0194265004247427,neutral,0.004827739670872688
1705163793808883770,0.594,positive,37,1,1,0.0,neutral,neutral,-0.22218234837055206,neutral,0.06499879062175751
1686823098564190208,-0.5423,negative,46,4,0,-0.08695652173913043,negative,negative,-0.9068978661671281,negative,-0.8774356138892472
1684280928959340546,-0.3612,negative,31,3,0,-0.0967741935483871,negative,negative,-0.8103316109627485,neutral,-0.2230914980173111
1681362416712417292,-0.4341,negative,28,0,0,0.0,neutral,neutral,0.038253121078014374,neutral,-0.06827324628829956
1680636484225990657,0.5267,positive,27,0,0,0.0,neutral,positive,0.6170530952513218,positive,0.5880278628319502
1679823227181211648,0.0,neutral,31,0,0,0.0,neutral,neutral,0.10656572878360748,neutral,0.10490297339856625
